"Statistic Label","CensusYear","Sex","Single Year of Age","County and City","UNIT","VALUE"
"Population","2011","Both sexes","All ages","State","Number","4588252"
"Population","2011","Both sexes","All ages","Cork City and Cork County","Number","519032"
"Population","2011","Both sexes","All ages","Clare","Number","117196"
"Population","2011","Both sexes","All ages","Cavan","Number","73183"
"Population","2011","Both sexes","All ages","Carlow","Number","54612"
"Population","2011","Both sexes","All ages","Dublin City","Number","527612"
"Population","2011","Both sexes","All ages","Donegal","Number","161137"
"Population","2011","Both sexes","All ages","Dún Laoghaire-Rathdown","Number","206261"
"Population","2011","Both sexes","All ages","Fingal","Number","273991"
"Population","2011","Both sexes","All ages","Galway City","Number","75529"
"Population","2011","Both sexes","All ages","Galway County","Number","175124"
"Population","2011","Both sexes","All ages","Kildare","Number","210312"
"Population","2011","Both sexes","All ages","Kilkenny","Number","95419"
"Population","2011","Both sexes","All ages","Kerry","Number","145502"
"Population","2011","Both sexes","All ages","Longford","Number","39000"
"Population","2011","Both sexes","All ages","Louth","Number","122897"
"Population","2011","Both sexes","All ages","Limerick City and County","Number","191809"
"Population","2011","Both sexes","All ages","Leitrim","Number","31798"
"Population","2011","Both sexes","All ages","Laois","Number","80559"
"Population","2011","Both sexes","All ages","Meath","Number","184135"
"Population","2011","Both sexes","All ages","Monaghan","Number","60483"
"Population","2011","Both sexes","All ages","Mayo","Number","130638"
"Population","2011","Both sexes","All ages","Offaly","Number","76687"
"Population","2011","Both sexes","All ages","Roscommon","Number","64065"
"Population","2011","Both sexes","All ages","South Dublin","Number","265205"
"Population","2011","Both sexes","All ages","Sligo","Number","65393"
"Population","2011","Both sexes","All ages","Tipperary","Number","158754"
"Population","2011","Both sexes","All ages","Waterford City and County","Number","113795"
"Population","2011","Both sexes","All ages","Westmeath","Number","86164"
"Population","2011","Both sexes","All ages","Wicklow","Number","136640"
"Population","2011","Both sexes","All ages","Wexford","Number","145320"
"Population","2011","Both sexes","Under 1 year","State","Number","72410"
"Population","2011","Both sexes","Under 1 year","Cork City and Cork County","Number","8120"
"Population","2011","Both sexes","Under 1 year","Clare","Number","1678"
"Population","2011","Both sexes","Under 1 year","Cavan","Number","1222"
"Population","2011","Both sexes","Under 1 year","Carlow","Number","898"
"Population","2011","Both sexes","Under 1 year","Dublin City","Number","6966"
"Population","2011","Both sexes","Under 1 year","Donegal","Number","2512"
"Population","2011","Both sexes","Under 1 year","Dún Laoghaire-Rathdown","Number","2761"
"Population","2011","Both sexes","Under 1 year","Fingal","Number","5454"
"Population","2011","Both sexes","Under 1 year","Galway City","Number","1145"
"Population","2011","Both sexes","Under 1 year","Galway County","Number","2737"
"Population","2011","Both sexes","Under 1 year","Kildare","Number","3825"
"Population","2011","Both sexes","Under 1 year","Kilkenny","Number","1552"
"Population","2011","Both sexes","Under 1 year","Kerry","Number","1923"
"Population","2011","Both sexes","Under 1 year","Longford","Number","634"
"Population","2011","Both sexes","Under 1 year","Louth","Number","2048"
"Population","2011","Both sexes","Under 1 year","Limerick City and County","Number","2965"
"Population","2011","Both sexes","Under 1 year","Leitrim","Number","472"
"Population","2011","Both sexes","Under 1 year","Laois","Number","1518"
"Population","2011","Both sexes","Under 1 year","Meath","Number","3443"
"Population","2011","Both sexes","Under 1 year","Monaghan","Number","984"
"Population","2011","Both sexes","Under 1 year","Mayo","Number","1816"
"Population","2011","Both sexes","Under 1 year","Offaly","Number","1241"
"Population","2011","Both sexes","Under 1 year","Roscommon","Number","931"
"Population","2011","Both sexes","Under 1 year","South Dublin","Number","4630"
"Population","2011","Both sexes","Under 1 year","Sligo","Number","909"
"Population","2011","Both sexes","Under 1 year","Tipperary","Number","2314"
"Population","2011","Both sexes","Under 1 year","Waterford City and County","Number","1726"
"Population","2011","Both sexes","Under 1 year","Westmeath","Number","1431"
"Population","2011","Both sexes","Under 1 year","Wicklow","Number","2340"
"Population","2011","Both sexes","Under 1 year","Wexford","Number","2215"
"Population","2011","Both sexes","1 year","State","Number","72645"
"Population","2011","Both sexes","1 year","Cork City and Cork County","Number","8229"
"Population","2011","Both sexes","1 year","Clare","Number","1776"
"Population","2011","Both sexes","1 year","Cavan","Number","1234"
